Feature ID	Taxon	Consensus	Confidence
06696451e362bc0bec53dd5310c2ed5a	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	1
067365550edadfe21c9ff26be5e487b7	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__	1	0.992405063291139
067d2d515106d66f8a6920e770d17119	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.992405063291139
067e1f84b05b8ca847f7be9c4be2ba97	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	0.992405063291139
06a7b62796c7d0bac40536212fee3b78	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	1
06a906affbc5a1682dc417805a3a793e	k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Limanda;s__aspera	1	1
06b8dd5f649b35653615d9478460aa17	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__	1	1
06b9eea93c94708ecc975b95b562d4b4	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	1
07002bf7b2b89639e9d03bb5b083985b	Unassigned	1	0.7
07247aed75579507c72aaa647ca5f88f	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.984810126582278
072abafb8604b0b286a7ef6c6225df63	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Alcidae;g__Fratercula;s__arctica	1	0.908860759493671
07339fb612d67f7324024dd673976840	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	1
074f6fe084c070e73cd2e2135751c390	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Xema;s__sabini	1	0.988607594936709
075582ad2ce57fa4d64d3cf73213f162	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Hyperoplus;s__lanceolatus	1	1
075b942697a242301ad781d004ea5b73	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	0.992405063291139
075bca9ca5485e728ac7593c1b2fac02	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	1
076e71dd55ded0d97ba06a508ca4d7e7	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus	1	0.992405063291139
07a0f609d24fb5a9803f12f6c18b8714	k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Oncorhynchus;s__	1	1
07a46d4e430924a653a343c1cd33ecf8	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	0.920253164556962
07a9dff026cc18bb3541d7f75d12fd21	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	0.988607594936709
07af685036ac0d1ab45e259d2a884919	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	1
07bda8dc4db8ff9bc8d03c97ca8e7368	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	1
